"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","bachelor's degree","free/reduced","completed","91","86","89"
"female","group A","bachelor's degree","free/reduced","none","44","58","51"
"male","group C","some college","standard","none","85","87","79"
"female","group E","some college","standard","none","45","44","48"
"female","group D","some college","standard","none","92","82","82"
"female","group D","some college","standard","none","92","97","89"
"male","group E","bachelor's degree","free/reduced","none","70","70","65"
"male","group C","some high school","free/reduced","completed","59","63","66"
"male","group B","some college","standard","none","41","43","38"
"female","group B","bachelor's degree","standard","none","60","74","69"
"female","group C","some high school","standard","none","72","79","75"
"female","group C","some high school","standard","completed","57","55","64"
"male","group C","high school","free/reduced","completed","59","59","61"
"male","group C","some high school","free/reduced","completed","46","53","45"
"male","group C","some high school","free/reduced","none","58","55","53"
"male","group C","bachelor's degree","standard","none","68","66","64"
"male","group C","high school","free/reduced","completed","54","56","51"
"male","group C","some college","standard","completed","100","94","95"
"male","group D","high school","free/reduced","none","57","69","62"
"male","group D","high school","standard","none","72","70","69"
"female","group C","associate's degree","standard","none","62","75","75"
"male","group B","high school","standard","none","80","67","65"
"male","group C","high school","standard","completed","73","75","73"
"female","group C","master's degree","free/reduced","completed","53","66","69"
"male","group C","high school","standard","none","53","53","52"
"male","group C","master's degree","free/reduced","none","82","88","75"
"female","group D","high school","standard","none","71","78","78"
"female","group B","associate's degree","standard","completed","60","69","69"
"male","group C","associate's degree","standard","none","90","84","80"
"female","group B","master's degree","standard","none","66","69","75"
"female","group C","high school","standard","completed","55","67","75"
"female","group E","bachelor's degree","standard","none","88","100","98"
"male","group E","master's degree","free/reduced","completed","60","57","59"
"male","group B","some high school","free/reduced","none","54","62","58"
"female","group B","high school","free/reduced","completed","54","59","57"
"female","group B","high school","standard","none","61","63","57"
"female","group B","some college","standard","none","54","71","70"
"male","group E","high school","standard","none","58","51","51"
"female","group D","some college","free/reduced","completed","60","80","74"
"female","group B","some high school","free/reduced","none","23","35","32"
"female","group C","high school","standard","none","66","77","71"
"male","group D","some high school","free/reduced","completed","45","32","34"
"male","group B","associate's degree","standard","completed","88","100","89"
"female","group D","high school","standard","completed","87","99","96"
"female","group A","associate's degree","free/reduced","completed","47","69","68"
"male","group C","associate's degree","free/reduced","completed","55","54","58"
"female","group B","some high school","standard","none","70","72","79"
"female","group D","associate's degree","standard","completed","71","74","81"
"female","group B","bachelor's degree","free/reduced","completed","63","72","72"
"male","group D","some high school","standard","completed","84","76","74"
"female","group E","some college","free/reduced","none","73","63","67"
"female","group A","master's degree","standard","none","74","90","84"
"female","group E","some college","free/reduced","none","48","59","57"
"female","group D","associate's degree","free/reduced","none","31","47","46"
"female","group B","some high school","free/reduced","completed","71","88","86"
"male","group B","some college","standard","none","75","62","63"
"male","group D","high school","free/reduced","completed","60","61","65"
"male","group A","master's degree","standard","completed","97","93","99"
"female","group B","some high school","free/reduced","completed","67","78","81"
"female","group C","master's degree","free/reduced","completed","72","86","80"
"female","group D","associate's degree","standard","completed","73","88","92"
"female","group D","bachelor's degree","standard","completed","88","100","100"
"male","group C","some college","standard","completed","59","57","53"
"female","group E","associate's degree","standard","none","71","86","79"
"male","group E","some high school","free/reduced","none","52","49","40"
"female","group C","bachelor's degree","standard","completed","49","52","61"
"female","group A","some college","standard","none","77","91","91"
"male","group C","high school","standard","none","74","84","74"
"male","group B","some college","free/reduced","completed","50","54","51"
"female","group D","bachelor's degree","standard","none","69","75","74"
"male","group B","some college","free/reduced","none","64","65","60"
"male","group D","some high school","standard","completed","84","88","91"
"male","group D","associate's degree","standard","none","53","47","48"
"female","group B","associate's degree","free/reduced","completed","61","80","81"
"male","group D","bachelor's degree","standard","completed","49","53","52"
"female","group D","some high school","standard","none","71","69","71"
"male","group C","high school","standard","none","74","62","67"
"female","group E","some high school","free/reduced","none","82","82","80"
"male","group E","some college","standard","none","51","55","42"
"female","group D","associate's degree","standard","none","76","91","93"
"male","group C","some high school","standard","none","54","49","45"
"female","group C","high school","standard","completed","45","61","60"
"male","group D","some high school","free/reduced","completed","87","71","82"
"male","group C","bachelor's degree","free/reduced","none","77","73","64"
"female","group E","bachelor's degree","standard","none","100","100","100"
"female","group D","associate's degree","standard","none","71","70","73"
"male","group C","associate's degree","standard","completed","89","88","86"
"female","group C","some college","standard","completed","70","77","78"
"female","group B","bachelor's degree","free/reduced","none","46","62","59"
"female","group C","associate's degree","standard","completed","81","87","90"
"female","group C","some high school","standard","completed","87","93","92"
"male","group B","bachelor's degree","free/reduced","none","44","47","41"
"male","group A","bachelor's degree","standard","completed","100","95","96"
"female","group C","high school","standard","completed","55","69","70"
"male","group D","associate's degree","standard","completed","87","85","88"
"male","group D","associate's degree","free/reduced","completed","71","59","61"
"male","group E","high school","standard","none","49","45","42"
"male","group C","associate's degree","free/reduced","none","49","56","48"
"male","group A","some high school","standard","none","46","38","31"
"female","group D","bachelor's degree","standard","none","68","74","75"
"female","group B","some high school","standard","none","64","85","79"
"female","group D","high school","standard","completed","59","59","71"
"female","group B","master's degree","standard","none","72","75","76"
"female","group D","bachelor's degree","standard","none","79","77","82"
"female","group D","some high school","free/reduced","none","55","57","51"
"male","group B","associate's degree","standard","none","58","58","52"
"male","group E","high school","free/reduced","completed","53","47","49"
"male","group C","associate's degree","free/reduced","none","48","47","40"
"female","group A","some college","standard","none","64","73","69"
"male","group C","some college","standard","completed","73","71","71"
"female","group C","bachelor's degree","standard","none","62","75","70"
"male","group C","some high school","standard","completed","80","75","73"
"male","group D","some high school","standard","none","61","59","56"
"male","group B","associate's degree","free/reduced","none","45","45","41"
"male","group E","master's degree","standard","completed","89","81","80"
"male","group A","bachelor's degree","standard","none","68","74","64"
"male","group C","bachelor's degree","free/reduced","completed","73","68","67"
"male","group D","high school","free/reduced","completed","47","58","54"
"female","group C","associate's degree","free/reduced","completed","54","68","69"
"male","group C","high school","standard","none","68","59","60"
"female","group E","high school","standard","none","70","59","63"
"female","group C","bachelor's degree","standard","none","69","76","72"
"male","group B","some college","free/reduced","none","75","80","64"
"male","group E","high school","standard","none","81","74","72"
"female","group C","master's degree","standard","none","52","68","62"
"female","group D","some college","standard","completed","94","99","100"
"female","group D","bachelor's degree","standard","none","21","32","36"
"male","group B","bachelor's degree","standard","completed","82","84","83"
"male","group D","master's degree","standard","none","65","55","48"
"male","group A","bachelor's degree","standard","none","73","71","66"
"male","group D","high school","free/reduced","none","73","59","60"
"male","group B","bachelor's degree","standard","none","76","82","79"
"male","group D","high school","free/reduced","completed","68","76","78"
"male","group E","some high school","free/reduced","none","59","60","47"
"male","group C","bachelor's degree","standard","none","64","56","57"
"male","group C","some high school","standard","none","80","80","72"
"male","group D","some high school","standard","none","45","41","37"
"female","group D","high school","standard","none","57","58","60"
"male","group E","high school","standard","none","80","68","62"
"female","group C","associate's degree","standard","none","55","71","64"
"male","group D","some high school","standard","none","92","83","83"
"female","group E","bachelor's degree","free/reduced","none","55","61","67"
"male","group D","associate's degree","standard","none","57","59","56"
"male","group C","some high school","standard","none","60","66","56"
"female","group E","some high school","free/reduced","none","43","46","47"
"female","group C","some high school","standard","none","34","46","48"
"male","group C","master's degree","standard","none","84","74","75"
"female","group C","bachelor's degree","standard","none","67","77","81"
"female","group D","associate's degree","standard","completed","95","100","100"
"female","group D","some college","standard","none","55","57","61"
"female","group C","some college","free/reduced","none","40","56","52"
"female","group C","associate's degree","standard","completed","77","71","84"
"female","group A","high school","standard","completed","65","82","83"
"male","group E","some high school","standard","none","84","70","65"
"female","group C","associate's degree","standard","completed","83","88","87"
"male","group D","high school","standard","completed","97","87","87"
"female","group C","master's degree","standard","none","90","90","86"
"female","group E","some college","standard","none","83","79","88"
"female","group D","associate's degree","standard","none","81","81","80"
"female","group E","some college","standard","none","77","82","84"
"female","group B","some high school","standard","completed","76","78","82"
"female","group B","some college","standard","none","95","94","96"
"female","group E","high school","standard","none","60","70","66"
"male","group A","bachelor's degree","standard","completed","68","61","62"
"female","group C","high school","standard","none","74","79","78"
"male","group B","some high school","standard","none","36","37","25"
"female","group E","high school","standard","none","77","76","77"
"female","group D","master's degree","standard","completed","69","80","82"
"female","group B","some high school","standard","completed","69","69","78"
"male","group E","associate's degree","standard","none","68","57","59"
"female","group A","some college","free/reduced","none","53","57","58"
"female","group D","bachelor's degree","standard","completed","76","88","87"
"female","group B","some college","standard","none","62","73","70"
"male","group D","some high school","standard","completed","56","54","53"
"male","group C","some high school","standard","none","56","44","39"
"female","group D","some college","standard","completed","49","69","70"
"male","group E","some high school","standard","none","86","86","79"
"male","group D","master's degree","standard","none","58","64","67"
"female","group B","bachelor's degree","standard","completed","81","95","92"
"male","group C","bachelor's degree","free/reduced","completed","55","58","57"
"female","group C","some college","free/reduced","none","75","87","79"
"male","group C","some college","standard","none","57","56","51"
"male","group A","high school","free/reduced","completed","55","59","50"
"female","group C","master's degree","standard","completed","90","100","100"
"female","group B","some high school","standard","completed","80","90","85"
"female","group C","some high school","free/reduced","none","49","70","57"
"female","group D","associate's degree","free/reduced","completed","53","65","67"
"female","group B","high school","standard","completed","66","74","75"
"male","group C","bachelor's degree","free/reduced","completed","88","82","88"
"male","group A","some college","standard","none","73","65","65"
"male","group D","some college","standard","completed","65","63","62"
"male","group C","associate's degree","standard","none","69","68","61"
"male","group E","some college","free/reduced","none","80","70","71"
"female","group C","high school","standard","none","60","66","64"
"female","group C","bachelor's degree","standard","completed","88","94","91"
"female","group C","some college","standard","none","66","72","75"
"male","group C","some high school","free/reduced","completed","64","69","68"
"male","group E","some high school","standard","none","90","83","78"
"female","group C","associate's degree","standard","none","59","69","61"
"female","group A","high school","standard","none","55","64","59"
"female","group C","some high school","standard","none","79","85","83"
"female","group B","bachelor's degree","standard","completed","74","82","85"
"female","group C","bachelor's degree","free/reduced","completed","72","92","96"
"male","group C","some college","standard","completed","62","60","57"
"male","group C","high school","free/reduced","completed","51","48","48"
"male","group E","high school","standard","none","75","58","52"
"female","group E","bachelor's degree","standard","none","79","78","80"
"female","group D","associate's degree","free/reduced","none","43","56","53"
"female","group C","associate's degree","standard","none","55","76","72"
"male","group B","high school","free/reduced","completed","49","48","44"
"male","group E","high school","free/reduced","none","67","71","67"
"female","group C","some college","standard","none","60","74","72"
"male","group D","bachelor's degree","standard","completed","96","94","95"
"male","group D","some college","free/reduced","none","68","69","71"
"male","group C","some high school","standard","none","58","50","52"
"female","group B","some college","standard","completed","73","85","86"
"male","group E","some college","standard","none","88","84","77"
"female","group D","master's degree","standard","none","73","79","81"
"male","group B","some high school","free/reduced","none","75","71","73"
"female","group C","associate's degree","free/reduced","none","67","77","72"
"male","group C","associate's degree","standard","none","76","69","66"
"male","group C","high school","free/reduced","completed","61","67","60"
"female","group B","high school","free/reduced","none","59","63","64"
"male","group E","associate's degree","free/reduced","none","85","81","78"
"female","group D","associate's degree","standard","none","63","77","76"
"female","group C","high school","free/reduced","none","42","47","51"
"female","group D","associate's degree","standard","none","76","84","92"
"female","group D","master's degree","standard","none","78","90","84"
"male","group A","some college","standard","none","49","57","46"
"male","group B","some college","standard","completed","68","73","67"
"female","group C","high school","standard","none","53","55","56"
"female","group D","associate's degree","standard","none","93","97","100"
"male","group D","some high school","standard","none","68","63","65"
"male","group E","associate's degree","free/reduced","completed","94","89","87"
"male","group E","high school","free/reduced","completed","61","73","69"
"female","group D","some high school","standard","none","53","49","54"
"male","group C","some high school","standard","none","71","62","63"
"female","group C","associate's degree","free/reduced","none","44","60","53"
"female","group B","associate's degree","free/reduced","none","56","58","57"
"female","group C","bachelor's degree","standard","none","78","93","94"
"female","group C","bachelor's degree","standard","none","70","73","75"
"female","group D","master's degree","free/reduced","none","34","52","52"
"male","group C","bachelor's degree","standard","none","35","37","40"
"female","group E","master's degree","standard","none","87","91","91"
"female","group D","some college","free/reduced","none","57","65","68"
"female","group C","bachelor's degree","standard","none","58","70","71"
"male","group D","master's degree","standard","none","85","81","79"
"female","group E","associate's degree","standard","completed","70","90","84"
"female","group D","some high school","standard","none","58","63","60"
"male","group B","associate's degree","free/reduced","none","32","27","22"
"male","group C","high school","standard","none","83","81","72"
"female","group C","high school","free/reduced","none","61","66","64"
"male","group D","some college","standard","completed","75","73","75"
"male","group E","high school","standard","completed","86","71","69"
"male","group C","high school","free/reduced","none","58","66","57"
"male","group B","associate's degree","free/reduced","completed","63","58","64"
"female","group C","bachelor's degree","standard","none","61","81","84"
"female","group E","some college","standard","none","75","74","76"
"female","group C","some college","standard","none","57","65","69"
"female","group B","high school","standard","completed","55","63","64"
"female","group D","some college","free/reduced","completed","57","64","68"
"female","group C","some college","standard","none","53","69","68"
"male","group B","associate's degree","free/reduced","completed","52","61","63"
"female","group D","high school","standard","none","55","64","67"
"male","group A","some high school","free/reduced","none","42","51","42"
"male","group C","some college","free/reduced","none","59","59","57"
"male","group C","associate's degree","standard","completed","80","83","84"
"male","group D","some college","free/reduced","none","77","58","62"
"female","group E","some high school","standard","completed","86","89","91"
"female","group B","some high school","standard","none","80","93","90"
"male","group C","master's degree","standard","none","77","77","73"
"female","group C","high school","standard","none","64","68","68"
"female","group E","some college","standard","completed","72","88","89"
"female","group D","master's degree","free/reduced","none","60","68","69"
"male","group C","some college","standard","none","90","82","76"
"female","group A","some high school","free/reduced","none","44","50","47"
"female","group B","bachelor's degree","standard","none","79","85","88"
"male","group B","high school","free/reduced","none","38","44","38"
"female","group E","bachelor's degree","standard","none","77","79","77"
"male","group D","associate's degree","standard","none","54","54","53"
"male","group E","high school","standard","completed","78","72","70"
"female","group A","some high school","free/reduced","none","67","82","81"
"male","group C","some high school","standard","none","61","55","52"
"male","group E","bachelor's degree","standard","completed","96","96","95"
"male","group C","associate's degree","standard","completed","83","88","92"
"male","group D","associate's degree","standard","none","85","80","68"
"female","group B","master's degree","free/reduced","completed","55","76","76"
"female","group C","associate's degree","standard","completed","57","72","77"
"male","group D","associate's degree","standard","completed","92","86","93"
"female","group C","associate's degree","standard","completed","56","58","61"
"male","group B","master's degree","standard","none","45","41","46"
"male","group D","master's degree","free/reduced","none","73","78","75"
"male","group D","some high school","standard","none","49","53","47"
"male","group B","high school","standard","none","57","49","54"
"female","group C","some college","standard","none","54","69","70"
"male","group C","high school","free/reduced","completed","52","62","61"
"male","group E","bachelor's degree","free/reduced","completed","79","77","70"
"male","group E","high school","standard","none","88","80","72"
"female","group B","some high school","free/reduced","completed","62","71","71"
"male","group C","some high school","free/reduced","none","51","44","41"
"female","group B","some college","standard","none","29","36","42"
"female","group B","bachelor's degree","standard","completed","89","100","100"
"male","group C","bachelor's degree","free/reduced","none","53","51","51"
"male","group C","master's degree","free/reduced","none","68","62","63"
"female","group E","some college","standard","none","100","99","97"
"female","group D","some college","free/reduced","none","36","53","57"
"female","group E","some college","standard","none","84","76","85"
"female","group D","some college","free/reduced","completed","74","89","91"
"male","group C","some college","standard","none","46","47","40"
"female","group D","some high school","standard","completed","60","65","76"
"female","group E","associate's degree","standard","none","83","86","91"
"female","group C","some high school","free/reduced","none","51","56","56"
"female","group B","some high school","free/reduced","none","59","72","70"
"male","group B","associate's degree","standard","completed","77","72","75"
"male","group B","some high school","standard","completed","68","68","69"
"male","group C","associate's degree","standard","none","54","45","42"
"male","group C","some college","standard","completed","61","53","61"
"female","group C","master's degree","standard","none","60","65","66"
"male","group C","high school","free/reduced","none","44","46","39"
"male","group D","high school","standard","none","94","91","87"
"female","group D","high school","free/reduced","completed","76","83","82"
"male","group B","some high school","standard","none","71","62","58"
"male","group D","master's degree","standard","completed","82","77","79"
"female","group C","some high school","standard","none","42","58","60"
"male","group D","associate's degree","free/reduced","completed","79","78","80"
"male","group C","master's degree","free/reduced","none","69","71","66"
"male","group C","associate's degree","standard","completed","78","72","73"
"female","group A","some high school","standard","none","62","70","74"
"male","group E","some high school","standard","none","68","63","65"
"female","group C","high school","free/reduced","none","43","60","55"
"male","group B","master's degree","standard","none","64","57","53"
"female","group B","some high school","standard","completed","77","95","88"
"female","group A","bachelor's degree","free/reduced","completed","53","80","78"
"female","group C","master's degree","standard","completed","73","90","83"
"male","group D","some college","free/reduced","none","49","50","51"
"male","group C","some high school","standard","none","76","72","74"
"male","group C","master's degree","standard","completed","52","48","51"
"female","group D","associate's degree","standard","none","89","100","100"
"female","group D","associate's degree","standard","none","64","76","79"
"female","group E","high school","free/reduced","completed","83","96","88"
"male","group B","high school","standard","none","46","47","48"
"male","group D","high school","standard","none","61","51","49"
"female","group D","some college","free/reduced","none","39","52","47"
"male","group C","bachelor's degree","standard","completed","84","82","78"
"female","group C","some high school","standard","completed","72","84","82"
"male","group A","some college","standard","none","67","63","64"
"female","group B","some high school","standard","none","47","51","55"
"female","group A","associate's degree","standard","none","73","82","87"
"male","group C","high school","standard","none","80","68","70"
"female","group D","associate's degree","free/reduced","none","75","91","91"
"female","group D","high school","standard","completed","54","61","60"
"female","group A","some college","standard","none","72","94","90"
"male","group E","some college","standard","none","82","78","68"
"female","group B","bachelor's degree","free/reduced","completed","64","70","67"
"male","group D","some high school","standard","completed","95","90","90"
"female","group D","some college","standard","none","90","88","95"
"male","group E","high school","standard","completed","89","80","80"
"female","group D","associate's degree","free/reduced","none","72","70","68"
"female","group A","associate's degree","free/reduced","none","36","45","38"
"female","group B","some high school","standard","completed","77","75","77"
"male","group D","some college","standard","none","92","97","84"
"female","group D","some college","free/reduced","none","67","74","76"
"female","group B","some high school","standard","completed","52","61","63"
"female","group C","high school","standard","none","47","55","53"
"male","group C","some high school","free/reduced","none","32","44","36"
"male","group B","some college","standard","none","53","53","52"
"male","group C","master's degree","free/reduced","completed","71","70","70"
"female","group C","some high school","standard","none","51","63","60"
"male","group B","bachelor's degree","free/reduced","none","84","85","85"
"male","group D","bachelor's degree","standard","none","78","72","74"
"male","group A","some high school","standard","none","60","47","51"
"male","group D","some high school","standard","completed","86","86","92"
"male","group C","some college","standard","none","95","86","87"
"male","group C","some high school","standard","completed","72","64","64"
"female","group E","high school","standard","none","85","89","89"
"female","group C","some college","free/reduced","none","55","74","67"
"female","group B","some high school","standard","completed","72","85","86"
"male","group D","high school","standard","none","92","86","87"
"female","group C","associate's degree","standard","none","73","86","86"
"male","group C","master's degree","free/reduced","none","55","43","46"
"female","group D","master's degree","standard","completed","86","93","99"
"female","group D","some college","standard","none","67","68","71"
"male","group C","master's degree","free/reduced","completed","85","75","79"
"female","group A","bachelor's degree","free/reduced","none","50","57","56"
"male","group B","some college","free/reduced","completed","71","62","66"
"male","group C","some college","standard","none","62","55","54"
"male","group B","bachelor's degree","standard","none","41","39","42"
"female","group C","some college","standard","none","47","60","51"
"female","group D","associate's degree","standard","none","70","73","79"
"female","group D","bachelor's degree","standard","completed","80","90","92"
"female","group A","associate's degree","standard","none","69","81","78"
"female","group B","high school","standard","none","59","63","60"
"female","group D","high school","standard","completed","71","77","79"
"female","group D","some college","free/reduced","none","49","56","55"
"male","group C","some high school","free/reduced","completed","60","65","66"
"male","group C","high school","standard","completed","66","56","58"
"female","group C","bachelor's degree","free/reduced","completed","50","65","66"
"female","group D","some college","standard","completed","78","94","96"
"male","group C","some high school","free/reduced","completed","60","50","51"
"female","group C","associate's degree","standard","completed","81","79","85"
"female","group C","bachelor's degree","standard","completed","64","71","81"
"male","group D","high school","free/reduced","completed","70","67","70"
"female","group D","some high school","standard","completed","80","79","86"
"female","group D","bachelor's degree","standard","completed","86","90","100"
"male","group D","associate's degree","free/reduced","completed","68","74","75"
"female","group D","some college","free/reduced","completed","46","69","67"
"male","group D","high school","standard","none","84","82","81"
"female","group E","some college","standard","completed","99","99","100"
"male","group C","bachelor's degree","free/reduced","none","35","38","37"
"female","group E","associate's degree","standard","completed","78","86","83"
"female","group D","some high school","standard","completed","87","93","100"
"male","group C","bachelor's degree","free/reduced","none","70","70","66"
"female","group D","some college","standard","completed","55","68","74"
"male","group D","master's degree","free/reduced","completed","84","74","87"
"female","group D","high school","free/reduced","none","53","61","57"
